Assembly	Level	WGS	BioSample	Isolate	Taxonomy
GCA_012522735.1	Contig	JAAYJU000000000	SAMN13893987	AS10tlH2TH_329	Clostridiales bacterium	
GCA_012522905.1	Contig	JAAYJO000000000	SAMN13893981	AS10tlH2TH_292	Clostridiales bacterium	
GCA_012522385.1	Contig	JAAYKN000000000	SAMN13894006	AS10tlH2TH_51	Clostridiales bacterium	
GCA_012522875.1	Contig	JAAYJP000000000	SAMN13893982	AS10tlH2TH_303	Clostridiales bacterium	
GCA_012522615.1	Contig	JAAYKB000000000	SAMN13893994	AS10tlH2TH_371	Clostridiales bacterium	
GCA_012523405.1	Contig	JAAYIN000000000	SAMN13893954	AS09scLD_99	Clostridiales bacterium	
GCA_012523455.1	Contig	JAAYIL000000000	SAMN13893952	AS09scLD_85	Clostridiales bacterium	
GCA_012523085.1	Contig	JAAYJC000000000	SAMN13893969	AS10tlH2TH_216	Clostridiales bacterium	
GCA_012523075.1	Contig	JAAYJF000000000	SAMN13893972	AS10tlH2TH_240	Clostridiales bacterium	
GCA_012523775.1	Contig	JAAYTK000000000	SAMN13894237	AS24abBPME_146	Clostridiales bacterium	
GCA_012523495.1	Contig	JAAYIM000000000	SAMN13893953	AS09scLD_87	Clostridiales bacterium	
GCA_012523875.1	Contig	JAAYSW000000000	SAMN13894223	AS23ysBPME_49	Clostridiales bacterium	
GCA_012523925.1	Contig	JAAYSQ000000000	SAMN13894217	AS23ysBPME_359	Clostridiales bacterium	
GCA_012523915.1	Contig	JAAYSU000000000	SAMN13894221	AS23ysBPME_42	Clostridiales bacterium	
GCA_012524025.1	Contig	JAAYSC000000000	SAMN13894203	AS23ysBPME_277	Clostridiales bacterium	
GCA_012718935.1	Contig	JAAYBH000000000	SAMN13893653	AS06rmzACSIP_269	Clostridiales bacterium	
GCA_012718835.1	Contig	JAAYBN000000000	SAMN13893659	AS06rmzACSIP_315	Clostridiales bacterium	
GCA_012719035.1	Contig	JAAYBD000000000	SAMN13893649	AS06rmzACSIP_241	Clostridiales bacterium	
GCA_012719075.1	Contig	JAAYBB000000000	SAMN13893647	AS06rmzACSIP_23	Clostridiales bacterium	
GCA_012719235.1	Contig	JAAYAR000000000	SAMN13893637	AS06rmzACSIP_159	Clostridiales bacterium	
GCA_012719215.1	Contig	JAAYAU000000000	SAMN13893640	AS06rmzACSIP_185	Clostridiales bacterium	
GCA_012719725.1	Contig	JAAXZU000000000	SAMN13893549	AS02xzSISU_2	Clostridiales bacterium	
GCA_012719745.1	Contig	JAAXZS000000000	SAMN13893547	AS02xzSISU_14	Clostridiales bacterium	
GCA_012719965.1	Contig	JAAXZK000000000	SAMN13893539	AS01afH2WH_34	Clostridiales bacterium	
GCA_012727435.1	Contig	JAAYHB000000000	SAMN13893903	AS09scLD_304	Clostridiales bacterium	
GCA_012718845.1	Contig	JAAYBM000000000	SAMN13893658	AS06rmzACSIP_312	Clostridiales bacterium	
GCA_012744355.1	Contig	JAAYHV000000000	SAMN13893923	AS09scLD_402	Clostridiales bacterium	
GCA_012735575.1	Contig	JAAYGY000000000	SAMN13893900	AS09scLD_29	Clostridiales bacterium	
GCA_012735495.1	Contig	JAAYHD000000000	SAMN13893905	AS09scLD_312	Clostridiales bacterium	
GCA_012735365.1	Contig	JAAYHK000000000	SAMN13893912	AS09scLD_372	Clostridiales bacterium	
GCA_012735145.1	Contig	JAAYIA000000000	SAMN13893928	AS09scLD_44	Clostridiales bacterium	
GCA_012735285.1	Contig	JAAYHT000000000	SAMN13893921	AS09scLD_400	Clostridiales bacterium	
GCA_012729975.1	Contig	JAAYBW000000000	SAMN13893668	AS06rmzACSIP_36	Clostridiales bacterium	
GCA_012729875.1	Contig	JAAYCC000000000	SAMN13893674	AS06rmzACSIP_377	Clostridiales bacterium	
GCA_012729115.1	Contig	JAAYDR000000000	SAMN13893715	AS06rmzACSIP_576	Clostridiales bacterium	
GCA_012729355.1	Contig	JAAYDG000000000	SAMN13893704	AS06rmzACSIP_54	Clostridiales bacterium	
GCA_012728605.1	Contig	JAAYET000000000	SAMN13893743	AS07pgkLD_191	Clostridiales bacterium	
GCA_012728565.1	Contig	JAAYEV000000000	SAMN13893745	AS07pgkLD_202	Clostridiales bacterium	
GCA_012728445.1	Contig	JAAYFA000000000	SAMN13893750	AS07pgkLD_232	Clostridiales bacterium	
GCA_012728435.1	Contig	JAAYFC000000000	SAMN13893752	AS07pgkLD_4	Clostridiales bacterium	
GCA_012728815.1	Contig	JAAYEI000000000	SAMN13893732	AS06rmzACSIP_86	Clostridiales bacterium	
GCA_012728045.1	Contig	JAAYFW000000000	SAMN13893872	AS09scLD_124	Clostridiales bacterium	
GCA_012728025.1	Contig	JAAYFX000000000	SAMN13893873	AS09scLD_130	Clostridiales bacterium	
GCA_012727765.1	Contig	JAAYGL000000000	SAMN13893887	AS09scLD_22	Clostridiales bacterium	
GCA_012510975.1	Contig	JAAZHA000000000	SAMN13894709	AS15tlH2ME_143	Clostridiales bacterium	
GCA_012511035.1	Contig	JAAZGW000000000	SAMN13894705	AS10tlH2TH_97	Clostridiales bacterium	
GCA_012510935.1	Contig	JAAZHB000000000	SAMN13894710	AS15tlH2ME_159	Clostridiales bacterium	
GCA_012510895.1	Contig	JAAZHD000000000	SAMN13894712	AS15tlH2ME_174	Clostridiales bacterium	
GCA_012510815.1	Contig	JAAZHH000000000	SAMN13894716	AS15tlH2ME_193	Clostridiales bacterium	
GCA_012511005.1	Contig	JAAZGX000000000	SAMN13894706	AS15tlH2ME_110	Clostridiales bacterium	
GCA_012516295.1	Contig	JAAYWU000000000	SAMN13894343	AS01afH2WH_19	Clostridiales bacterium	
GCA_012516225.1	Contig	JAAYWX000000000	SAMN13894346	AS01afH2WH_48	Clostridiales bacterium	
GCA_012515725.1	Contig	JAAYXU000000000	SAMN13894407	AS06rmzACSIP_180	Clostridiales bacterium	
GCA_012515545.1	Contig	JAAYYD000000000	SAMN13894416	AS06rmzACSIP_207	Clostridiales bacterium	
GCA_012515925.1	Contig	JAAYXM000000000	SAMN13894399	AS06rmzACSIP_149	Clostridiales bacterium	
GCA_012515915.1	Contig	JAAYXL000000000	SAMN13894398	AS06rmzACSIP_145	Clostridiales bacterium	
GCA_012518075.1	Contig	JAAYTG000000000	SAMN13894233	AS23ysBPME_90	Clostridiales bacterium	
GCA_012517905.1	Contig	JAAYUE000000000	SAMN13894275	AS27yjCOA_135	Clostridiales bacterium	
GCA_012517815.1	Contig	JAAYUF000000000	SAMN13894276	AS27yjCOA_138	Clostridiales bacterium	
GCA_012517675.1	Contig	JAAYUL000000000	SAMN13894282	AS27yjCOA_153	Clostridiales bacterium	
GCA_012516995.1	Contig	JAAYVW000000000	SAMN13894319	AS2HglBPFA_8	Clostridiales bacterium	
GCA_012519195.1	Contig	JAAYQP000000000	SAMN13894164	AS22ysBPME_71	Clostridiales bacterium	
GCA_012519315.1	Contig	JAAYQM000000000	SAMN13894161	AS22ysBPME_47	Clostridiales bacterium	
GCA_012519285.1	Contig	JAAYQN000000000	SAMN13894162	AS22ysBPME_58	Clostridiales bacterium	
GCA_012518975.1	Contig	JAAYRC000000000	SAMN13894177	AS23ysBPME_152	Clostridiales bacterium	
GCA_012518935.1	Contig	JAAYRE000000000	SAMN13894179	AS23ysBPME_167	Clostridiales bacterium	
GCA_012518885.1	Contig	JAAYRG000000000	SAMN13894181	AS23ysBPME_169	Clostridiales bacterium	
GCA_012519155.1	Contig	JAAYQS000000000	SAMN13894167	AS22ysBPME_87	Clostridiales bacterium	
GCA_012518465.1	Contig	JAAYSD000000000	SAMN13894204	AS23ysBPME_280	Clostridiales bacterium	
GCA_012518535.1	Contig	JAAYRX000000000	SAMN13894198	AS23ysBPME_258	Clostridiales bacterium	
GCA_012518395.1	Contig	JAAYSJ000000000	SAMN13894210	AS23ysBPME_32	Clostridiales bacterium	
GCA_012520815.1	Contig	JAAYNM000000000	SAMN13894083	AS21ysBPME_170	Clostridiales bacterium	
GCA_012520645.1	Contig	JAAYNV000000000	SAMN13894092	AS21ysBPME_255	Clostridiales bacterium	
GCA_012520655.1	Contig	JAAYNW000000000	SAMN13894093	AS21ysBPME_273	Clostridiales bacterium	
GCA_012520635.1	Contig	JAAYNY000000000	SAMN13894095	AS21ysBPME_299	Clostridiales bacterium	
GCA_012520515.1	Contig	JAAYOD000000000	SAMN13894100	AS21ysBPME_320	Clostridiales bacterium	
GCA_012520395.1	Contig	JAAYOL000000000	SAMN13894108	AS21ysBPME_39	Clostridiales bacterium	
GCA_012520375.1	Contig	JAAYOH000000000	SAMN13894104	AS21ysBPME_341	Clostridiales bacterium	
GCA_012520295.1	Contig	JAAYOP000000000	SAMN13894112	AS21ysBPME_66	Clostridiales bacterium	
GCA_012520205.1	Contig	JAAYOT000000000	SAMN13894116	AS21ysBPME_8	Clostridiales bacterium	
GCA_012520195.1	Contig	JAAYOS000000000	SAMN13894115	AS21ysBPME_78	Clostridiales bacterium	
GCA_012519635.1	Contig	JAAYPV000000000	SAMN13894144	AS22ysBPME_289	Clostridiales bacterium	
GCA_012519565.1	Contig	JAAYPX000000000	SAMN13894146	AS22ysBPME_292	Clostridiales bacterium	
GCA_012519695.1	Contig	JAAYPT000000000	SAMN13894142	AS22ysBPME_279	Clostridiales bacterium	
GCA_012519645.1	Contig	JAAYPU000000000	SAMN13894143	AS22ysBPME_288	Clostridiales bacterium	
GCA_012519905.1	Contig	JAAYPG000000000	SAMN13894129	AS22ysBPME_171	Clostridiales bacterium	
GCA_012519975.1	Contig	JAAYPE000000000	SAMN13894127	AS22ysBPME_161	Clostridiales bacterium	
GCA_012519845.1	Contig	JAAYPK000000000	SAMN13894133	AS22ysBPME_211	Clostridiales bacterium	
GCA_012519835.1	Contig	JAAYPJ000000000	SAMN13894132	AS22ysBPME_189	Clostridiales bacterium	
GCA_012520115.1	Contig	JAAYOZ000000000	SAMN13894122	AS22ysBPME_133	Clostridiales bacterium	
GCA_012511325.1	Contig	JAAZGH000000000	SAMN13894690	AS10tlH2TH_359	Clostridiales bacterium	
GCA_012511425.1	Contig	JAAZGC000000000	SAMN13894685	AS10tlH2TH_327	Clostridiales bacterium	
GCA_012511395.1	Contig	JAAZGD000000000	SAMN13894686	AS10tlH2TH_337	Clostridiales bacterium	
GCA_012511515.1	Contig	JAAZFY000000000	SAMN13894681	AS10tlH2TH_294	Clostridiales bacterium	
GCA_012511635.1	Contig	JAAZFQ000000000	SAMN13894673	AS10tlH2TH_237	Clostridiales bacterium	
GCA_012511925.1	Contig	JAAZFD000000000	SAMN13894660	AS10tlH2TH_161	Clostridiales bacterium	
GCA_012511485.1	Contig	JAAZFZ000000000	SAMN13894682	AS10tlH2TH_305	Clostridiales bacterium	
GCA_012511755.1	Contig	JAAZFL000000000	SAMN13894668	AS10tlH2TH_212	Clostridiales bacterium	
GCA_012512355.1	Contig	JAAZEI000000000	SAMN13894639	AS09scLD_293	Clostridiales bacterium	
GCA_012512335.1	Contig	JAAZEK000000000	SAMN13894641	AS09scLD_32	Clostridiales bacterium	
GCA_012512255.1	Contig	JAAZDJ000000000	SAMN13894614	AS09scLD_127	Clostridiales bacterium	
GCA_012512225.1	Contig	JAAZEN000000000	SAMN13894644	AS09scLD_356	Clostridiales bacterium	
GCA_012514225.1	Contig	JAAZAQ000000000	SAMN13894481	AS06rmzACSIP_440	Clostridiales bacterium	
GCA_012514145.1	Contig	JAAZAV000000000	SAMN13894486	AS06rmzACSIP_466	Clostridiales bacterium	
GCA_012514045.1	Contig	JAAZBA000000000	SAMN13894491	AS06rmzACSIP_504	Clostridiales bacterium	
GCA_012514495.1	Contig	JAAZAE000000000	SAMN13894469	AS06rmzACSIP_396	Clostridiales bacterium	
GCA_012515015.1	Contig	JAAYZE000000000	SAMN13894443	AS06rmzACSIP_293	Clostridiales bacterium	
GCA_012514855.1	Contig	JAAYZL000000000	SAMN13894450	AS06rmzACSIP_318	Clostridiales bacterium	
GCA_012515135.1	Contig	JAAYYX000000000	SAMN13894436	AS06rmzACSIP_267	Clostridiales bacterium	
GCA_012513535.1	Contig	JAAZBZ000000000	SAMN13894516	AS06rmzACSIP_80	Clostridiales bacterium	
GCA_012513435.1	Contig	JAAZCE000000000	SAMN13894521	AS07pgkLD_107	Clostridiales bacterium	
GCA_012513735.1	Contig	JAAZBR000000000	SAMN13894508	AS06rmzACSIP_619	Clostridiales bacterium	
GCA_012513645.1	Contig	JAAZBU000000000	SAMN13894511	AS06rmzACSIP_630	Clostridiales bacterium	
GCA_012513775.1	Contig	JAAZBO000000000	SAMN13894505	AS06rmzACSIP_613	Clostridiales bacterium	
GCA_012513975.1	Contig	JAAZBE000000000	SAMN13894495	AS06rmzACSIP_519	Clostridiales bacterium	
GCA_012513215.1	Contig	JAAZCP000000000	SAMN13894532	AS07pgkLD_196	Clostridiales bacterium	
GCA_012513295.1	Contig	JAAZCM000000000	SAMN13894529	AS07pgkLD_17	Clostridiales bacterium	
GCA_012512855.1	Contig	JAAZDK000000000	SAMN13894615	AS09scLD_138	Clostridiales bacterium	
GCA_012512995.1	Contig	JAAZDA000000000	SAMN13894543	AS07pgkLD_94	Clostridiales bacterium	
GCA_012842655.1	Contig	DUSL00000000	SAMN13894361	AS04akNAM_15	Clostridiales bacterium	
GCA_012842605.1	Contig	DUSN00000000	SAMN13894363	AS04akNAM_22	Clostridiales bacterium	
GCA_012842725.1	Contig	DUSG00000000	SAMN13894356	AS04akNAM_111	Clostridiales bacterium	
GCA_012842695.1	Contig	DUSH00000000	SAMN13894357	AS04akNAM_116	Clostridiales bacterium	
GCA_012843055.1	Contig	DURR00000000	SAMN13894252	AS25fmACSIPFO_71	Clostridiales bacterium	
GCA_012842955.1	Contig	DURY00000000	SAMN13894259	AS26fmACSIPLY_33	Clostridiales bacterium	
GCA_012841165.1	Contig	DUVF00000000	SAMN13894584	AS08sgBPME_358	Clostridiales bacterium	
GCA_012841285.1	Contig	DUVB00000000	SAMN13894580	AS08sgBPME_316	Clostridiales bacterium	
GCA_012841475.1	Contig	DUUP00000000	SAMN13894568	AS08sgBPME_234	Clostridiales bacterium	
GCA_012841675.1	Contig	DUUG00000000	SAMN13894559	AS08sgBPME_187	Clostridiales bacterium	
GCA_012841635.1	Contig	DUUJ00000000	SAMN13894562	AS08sgBPME_197	Clostridiales bacterium	
GCA_012841595.1	Contig	DUUK00000000	SAMN13894563	AS08sgBPME_202	Clostridiales bacterium	
GCA_012841525.1	Contig	DUUO00000000	SAMN13894567	AS08sgBPME_231	Clostridiales bacterium	
GCA_012841925.1	Contig	DUTT00000000	SAMN13894546	AS08sgBPME_104	Clostridiales bacterium	
GCA_012840445.1	Contig	DULI00000000	SAMN13893565	AS04akNAM_109	Clostridiales bacterium	
GCA_012840745.1	Contig	DURP00000000	SAMN13894250	AS25fmACSIPFO_55	Clostridiales bacterium	
GCA_012841105.1	Contig	DUVK00000000	SAMN13894589	AS08sgBPME_381	Clostridiales bacterium	
GCA_012840805.1	Contig	DUVY00000000	SAMN13894603	AS08sgBPME_79	Clostridiales bacterium	
GCA_012840355.1	Contig	DULN00000000	SAMN13893570	AS04akNAM_119	Clostridiales bacterium	
GCA_012839185.1	Contig	DUNU00000000	SAMN13893771	AS08sgBPME_112	Clostridiales bacterium	
GCA_012839235.1	Contig	DUNS00000000	SAMN13893769	AS08sgBPME_106	Clostridiales bacterium	
GCA_012839095.1	Contig	DUOA00000000	SAMN13893777	AS08sgBPME_131	Clostridiales bacterium	
GCA_012839085.1	Contig	DUNZ00000000	SAMN13893776	AS08sgBPME_126	Clostridiales bacterium	
GCA_012839345.1	Contig	DUNN00000000	SAMN13893622	AS05jafATM_78	Clostridiales bacterium	
GCA_012839295.1	Contig	DUNO00000000	SAMN13893623	AS05jafATM_90	Clostridiales bacterium	
GCA_012839705.1	Contig	DUMT00000000	SAMN13893602	AS04akNAM_92	Clostridiales bacterium	
GCA_012838805.1	Contig	DUON00000000	SAMN13893790	AS08sgBPME_178	Clostridiales bacterium	
GCA_012838665.1	Contig	DUOX00000000	SAMN13893800	AS08sgBPME_241	Clostridiales bacterium	
GCA_012838915.1	Contig	DUOI00000000	SAMN13893785	AS08sgBPME_164	Clostridiales bacterium	
GCA_012838995.1	Contig	DUOD00000000	SAMN13893780	AS08sgBPME_141	Clostridiales bacterium	
GCA_012838425.1	Contig	DUPG00000000	SAMN13893809	AS08sgBPME_285	Clostridiales bacterium	
GCA_012838345.1	Contig	DUPK00000000	SAMN13893813	AS08sgBPME_301	Clostridiales bacterium	
GCA_012838265.1	Contig	DUPP00000000	SAMN13893818	AS08sgBPME_325	Clostridiales bacterium	
GCA_012837965.1	Contig	DUQF00000000	SAMN13893834	AS08sgBPME_383	Clostridiales bacterium	
GCA_012837805.1	Contig	DUQL00000000	SAMN13893840	AS08sgBPME_402	Clostridiales bacterium	
GCA_012837865.1	Contig	DUQJ00000000	SAMN13893838	AS08sgBPME_396	Clostridiales bacterium	
GCA_012837525.1	Contig	DUQZ00000000	SAMN13893854	AS08sgBPME_466	Clostridiales bacterium	
GCA_012837605.1	Contig	DUQV00000000	SAMN13893850	AS08sgBPME_437	Clostridiales bacterium	
GCA_012837425.1	Contig	DURE00000000	SAMN13893859	AS08sgBPME_67	Clostridiales bacterium	
GCA_012799165.1	Contig	JAAZLU000000000	SAMN13894833	AS23ysBPME_253	Clostridiales bacterium	
GCA_012798735.1	Contig	JAAZMO000000000	SAMN13894853	AS23ysBPME_82	Clostridiales bacterium	
GCA_012800365.1	Contig	JAAZJK000000000	SAMN13894771	AS21ysBPME_237	Clostridiales bacterium	
GCA_012800335.1	Contig	JAAZJM000000000	SAMN13894773	AS21ysBPME_272	Clostridiales bacterium	
GCA_012800145.1	Contig	JAAZJW000000000	SAMN13894783	AS21ysBPME_83	Clostridiales bacterium	
GCA_012800265.1	Contig	JAAZJP000000000	SAMN13894776	AS21ysBPME_297	Clostridiales bacterium	
GCA_012800325.1	Contig	JAAZJN000000000	SAMN13894774	AS21ysBPME_275	Clostridiales bacterium	
GCA_012800525.1	Contig	JAAZJD000000000	SAMN13894764	AS21ysBPME_203	Clostridiales bacterium	
GCA_012800755.1	Contig	JAAZIS000000000	SAMN13894753	AS20ysBPTH_87	Clostridiales bacterium	
GCA_012800735.1	Contig	JAAZIU000000000	SAMN13894755	AS21ysBPME_12	Clostridiales bacterium	
GCA_012800805.1	Contig	JAAZIO000000000	SAMN13894749	AS20ysBPTH_39	Clostridiales bacterium	
GCA_012800685.1	Contig	JAAZIT000000000	SAMN13894754	AS21ysBPME_10	Clostridiales bacterium	
GCA_012800875.1	Contig	JAAZIM000000000	SAMN13894747	AS20ysBPTH_146	Clostridiales bacterium	
GCA_012837325.1	Contig	DURK00000000	SAMN13893865	AS08sgBPME_86	Clostridiales bacterium	
GCA_012798905.1	Contig	JAAZMH000000000	SAMN13894846	AS23ysBPME_339	Clostridiales bacterium	
GCA_012799205.1	Contig	JAAZLT000000000	SAMN13894832	AS23ysBPME_249	Clostridiales bacterium	
GCA_012799315.1	Contig	JAAZLM000000000	SAMN13894825	AS23ysBPME_215	Clostridiales bacterium	
GCA_012799455.1	Contig	JAAZLE000000000	SAMN13894817	AS23ysBPME_171	Clostridiales bacterium	
GCA_012800055.1	Contig	JAAZKA000000000	SAMN13894787	AS22ysBPME_179	Clostridiales bacterium	
GCA_012799915.1	Contig	JAAZKH000000000	SAMN13894794	AS22ysBPME_233	Clostridiales bacterium	
GCA_012797075.1	Contig	JAAZPU000000000	SAMN13894946	AS4LglBPNY_6	Clostridiales bacterium	
GCA_012933745.1	Contig	JAAYGV000000000	SAMN13893897	AS09scLD_273	Clostridiales bacterium	
GCA_012799555.1	Contig	JAAZKZ000000000	SAMN13894812	AS23ysBPME_126	Clostridium cochlearium	
GCA_012839405.1	Contig	DUNM00000000	SAMN13893621	AS05jafATM_73	Clostridium sp.	
GCA_012841175.1	Contig	DUVG00000000	SAMN13894585	AS08sgBPME_36	Clostridium sp.	
GCA_012798835.1	Contig	JAAZML000000000	SAMN13894850	AS23ysBPME_38	Clostridium sp.	
GCA_012523755.1	Contig	JAAYTO000000000	SAMN13894241	AS24abBPME_43	Clostridium sp.	
GCA_012521435.1	Contig	JAAYMH000000000	SAMN13894052	AS20ysBPTH_178	Clostridium sp.	
GCA_012512905.1	Contig	JAAZDF000000000	SAMN13894610	AS09scLD_114	Clostridium sp.	
GCA_012511405.1	Contig	JAAZGE000000000	SAMN13894687	AS10tlH2TH_34	Clostridium sp.	
GCA_012511315.1	Contig	JAAZGI000000000	SAMN13894691	AS10tlH2TH_361	Clostridium sp.	
GCA_012517995.1	Contig	JAAYTS000000000	SAMN13894245	AS24abBPME_67	Clostridium sp.	
GCA_012800935.1	Contig	JAAZIJ000000000	SAMN13894744	AS19jrsBPTG_34	Comamonadaceae bacterium	
GCA_012719895.1	Contig	JAAXZL000000000	SAMN13893540	AS01afH2WH_35	Coprothermobacter proteolyticus	
GCA_012842545.1	Contig	DUSQ00000000	SAMN13894366	AS04akNAM_51	Coprothermobacter sp.	
GCA_012515495.1	Contig	JAAYYH000000000	SAMN13894420	AS06rmzACSIP_215	Coriobacteriaceae bacterium	
GCA_012842085.1	Contig	DUTM00000000	SAMN13894388	AS05jafATM_72	Corynebacteriales bacterium	
GCA_012510795.1	Contig	JAAZHI000000000	SAMN13894717	AS15tlH2ME_198	Corynebacterium humireducens	
GCA_012515295.1	Contig	JAAYYP000000000	SAMN13894428	AS06rmzACSIP_235	Corynebacterium marinum	
GCA_012523995.1	Contig	JAAYSN000000000	SAMN13894214	AS23ysBPME_344	Corynebacterium pollutisoli	
GCA_012838985.1	Contig	DUOE00000000	SAMN13893781	AS08sgBPME_147	Corynebacterium sp.	
GCA_012837295.1	Contig	DURI00000000	SAMN13893863	AS08sgBPME_81	Corynebacterium sp.	
GCA_012800695.1	Contig	JAAZIV000000000	SAMN13894756	AS21ysBPME_148	Corynebacterium sp.	
GCA_012799005.1	Contig	JAAZMC000000000	SAMN13894841	AS23ysBPME_308	Corynebacterium sp.	
GCA_012838005.1	Contig	DUQC00000000	SAMN13893831	AS08sgBPME_377	Corynebacterium stationis	
GCA_012513985.1	Contig	JAAZBF000000000	SAMN13894496	AS06rmzACSIP_525	Crenarchaeota archaeon	
GCA_012513715.1	Contig	JAAZBP000000000	SAMN13894506	AS06rmzACSIP_615	Crenarchaeota archaeon	
GCA_012511995.1	Contig	JAAZFA000000000	SAMN13894657	AS10tlH2TH_146	Crenarchaeota archaeon	
GCA_012839465.1	Contig	DUNH00000000	SAMN13893616	AS05jafATM_34	Defluviitoga tunisiensis	
GCA_012719115.1	Contig	JAAYAZ000000000	SAMN13893645	AS06rmzACSIP_226	Dehalococcoidales bacterium	
GCA_012514075.1	Contig	JAAZAY000000000	SAMN13894489	AS06rmzACSIP_485	Dehalococcoidales bacterium	
GCA_012514675.1	Contig	JAAYZV000000000	SAMN13894460	AS06rmzACSIP_354	Dehalococcoidales bacterium	
GCA_012520835.1	Contig	JAAYNN000000000	SAMN13894084	AS21ysBPME_190	Dehalococcoidales bacterium	
GCA_012514715.1	Contig	JAAYZT000000000	SAMN13894458	AS06rmzACSIP_347	Dehalococcoidia bacterium	
GCA_012515535.1	Contig	JAAYYF000000000	SAMN13894418	AS06rmzACSIP_210	Deinococcales bacterium	
GCA_012517775.1	Contig	JAAYUJ000000000	SAMN13894280	AS27yjCOA_149	Deltaproteobacteria bacterium	
GCA_012517535.1	Contig	JAAYUU000000000	SAMN13894291	AS27yjCOA_184	Deltaproteobacteria bacterium	
GCA_012517315.1	Contig	JAAYVE000000000	SAMN13894301	AS27yjCOA_29	Deltaproteobacteria bacterium	
GCA_012514925.1	Contig	JAAYZI000000000	SAMN13894447	AS06rmzACSIP_307	Deltaproteobacteria bacterium	
GCA_012511055.1	Contig	JAAZGV000000000	SAMN13894704	AS10tlH2TH_92	Deltaproteobacteria bacterium	
GCA_012728915.1	Contig	JAAYEC000000000	SAMN13893726	AS06rmzACSIP_61	Deltaproteobacteria bacterium	
GCA_012729055.1	Contig	JAAYDW000000000	SAMN13893720	AS06rmzACSIP_589	Deltaproteobacteria bacterium	
GCA_012729375.1	Contig	JAAYDE000000000	SAMN13893702	AS06rmzACSIP_532	Deltaproteobacteria bacterium	
GCA_012522415.1	Contig	JAAYKM000000000	SAMN13894005	AS10tlH2TH_430	Deltaproteobacteria bacterium	
GCA_012797415.1	Contig	JAAZPC000000000	SAMN13894928	AS4AglBPMA_32	Deltaproteobacteria bacterium	
GCA_012797205.1	Contig	JAAZPP000000000	SAMN13894941	AS4EglBPAV_19	Deltaproteobacteria bacterium	
GCA_012797395.1	Contig	JAAZPE000000000	SAMN13894930	AS4AglBPMA_45	Deltaproteobacteria bacterium	
GCA_012513605.1	Contig	JAAZBV000000000	SAMN13894512	AS06rmzACSIP_634	Desulfatiglans sp.	
GCA_012842225.1	Contig	DUTF00000000	SAMN13894381	AS05jafATM_4	Desulfitobacterium dehalogenans	
GCA_012799495.1	Contig	JAAZLD000000000	SAMN13894816	AS23ysBPME_164	Desulfitobacterium sp.	
GCA_012511275.1	Contig	JAAZGK000000000	SAMN13894693	AS10tlH2TH_375	Desulfobulbaceae bacterium	
GCA_012744275.1	Contig	JAAYIE000000000	SAMN13893932	AS09scLD_69	Desulfobulbaceae bacterium	
GCA_012729435.1	Contig	JAAYDD000000000	SAMN13893701	AS06rmzACSIP_531	Desulfobulbus sp.	
GCA_012840295.1	Contig	DULQ00000000	SAMN13893573	AS04akNAM_127	Desulfotomaculum sp.	
GCA_012797925.1	Contig	JAAZOF000000000	SAMN13894905	AS27yjCOA_33	Desulfovibrio sp.	
GCA_012729655.1	Contig	JAAYCS000000000	SAMN13893690	AS06rmzACSIP_480	Desulfovibrionales bacterium	
GCA_012727715.1	Contig	JAAYGN000000000	SAMN13893889	AS09scLD_228	Desulfovibrionales bacterium	
GCA_012727515.1	Contig	JAAYGZ000000000	SAMN13893901	AS09scLD_292	Desulfovibrionales bacterium	
GCA_012512925.1	Contig	JAAZDE000000000	SAMN13894609	AS09scLD_110	Desulfuromonadaceae bacterium	
GCA_012523635.1	Contig	JAAYTX000000000	SAMN13894268	AS27yjCOA_105	Elusimicrobia bacterium	
GCA_012515635.1	Contig	JAAYXZ000000000	SAMN13894412	AS06rmzACSIP_197	Elusimicrobia bacterium	
GCA_012517285.1	Contig	JAAYVG000000000	SAMN13894303	AS27yjCOA_32	Elusimicrobia bacterium	
GCA_012517235.1	Contig	JAAYVI000000000	SAMN13894305	AS27yjCOA_52	Elusimicrobia bacterium	
GCA_012514745.1	Contig	JAAYZR000000000	SAMN13894456	AS06rmzACSIP_339	Elusimicrobia bacterium	
GCA_012514595.1	Contig	JAAYZZ000000000	SAMN13894464	AS06rmzACSIP_371	Elusimicrobia bacterium	
GCA_012511615.1	Contig	JAAZFS000000000	SAMN13894675	AS10tlH2TH_24	Elusimicrobia bacterium	
GCA_012520265.1	Contig	JAAYON000000000	SAMN13894110	AS21ysBPME_60	Enterococcus cecorum	
GCA_012521695.1	Contig	JAAYLT000000000	SAMN13894038	AS17jrsBPGN_10	Enterococcus sp.	
GCA_012841565.1	Contig	DUUM00000000	SAMN13894565	AS08sgBPME_219	Epulopiscium sp.	
GCA_012840495.1	Contig	DULH00000000	SAMN13893564	AS04akNAM_106	Epulopiscium sp.	
GCA_012799415.1	Contig	JAAZLH000000000	SAMN13894820	AS23ysBPME_185	Epulopiscium sp.	
GCA_012521395.1	Contig	JAAYML000000000	SAMN13894056	AS20ysBPTH_2	Epulopiscium sp.	
GCA_012521175.1	Contig	JAAYMW000000000	SAMN13894067	AS20ysBPTH_51	Epulopiscium sp.	
GCA_012524135.1	Contig	JAAYSE000000000	SAMN13894205	AS23ysBPME_284	Epulopiscium sp.	
